year,amount_in_mils
2000,814516
2001,853863
2002,904699
2003,948231
2004,990250
2005,1043178
2006,1102493
2007,1167132
2008,1229205
2009,1249800
2010,1307410
2011,1366891
2012,1408376
2013,1458363
2014,1517376
2015,1566215
2016,1610954
2017,1684247
2018,1756531
2019,1814251
2020,1765871
2021,1904459
2022,2095366
2023,2208744
